Symbol  ,Date,Expiry,Option type  ,Strike Price,Open  ,High  ,Low  ,Close  ,LTP,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value
NIFTY,15-Mar-23,28-Dec-23,CE,18000,756.5,756.5,668,678.75,670,678.75,795,7436.92,281.92,336225,50,16972.15
NIFTY,16-Mar-23,28-Dec-23,CE,18000,665,700,629.5,665.6,670,665.6,1205,11248.29,403.29,335825,-400,16985.6
NIFTY,17-Mar-23,28-Dec-23,CE,18000,702,714,653,699.35,699.85,699.35,778,7267.61,265.61,335075,-750,17100.05
NIFTY,20-Mar-23,28-Dec-23,CE,18000,670,670,620,646.6,650,646.6,1205,11231,386,333475,-1600,16988.4
NIFTY,21-Mar-23,28-Dec-23,CE,18000,660,692.95,655,686.8,686.4,686.8,707,6600.3,237.3,335475,2000,17107.5
NIFTY,22-Mar-23,28-Dec-23,CE,18000,712.1,724,685,707.05,705,707.05,441,4123.46,154.46,338925,3450,17151.9
NIFTY,23-Mar-23,28-Dec-23,CE,18000,676.9,711.85,660,665.65,663.25,665.65,423,3952.58,145.58,338675,-250,17076.9
NIFTY,24-Mar-23,28-Dec-23,CE,18000,660,680,594.95,603.85,597,603.85,717,6680.42,227.42,338025,-650,16945.05
NIFTY,27-Mar-23,28-Dec-23,CE,18000,588.75,645.05,588.75,607.3,606.5,607.3,785,7308.65,243.65,338475,450,16985.7
NIFTY,28-Mar-23,28-Dec-23,CE,18000,612.85,620,576,580.8,583,580.8,963,8951.51,284.51,343775,5300,16951.7
NIFTY,29-Mar-23,28-Dec-23,CE,18000,583.95,614.25,560,601.35,614,601.35,1309,12164.14,383.14,343975,200,17080.7
NIFTY,31-Mar-23,28-Dec-23,CE,18000,631.8,681,630.65,671.8,666,671.8,1903,17750.46,623.46,352975,9000,17359.75
NIFTY,03-Apr-23,28-Dec-23,CE,18000,655,675,628,669.6,674,669.6,1582,14753.33,515.33,371675,18700,17398.05
NIFTY,05-Apr-23,28-Dec-23,CE,18000,674,742.4,673.95,738.8,736.9,738.8,1842,17237.55,659.55,413575,41900,17557.05
NIFTY,06-Apr-23,28-Dec-23,CE,18000,716,757.9,702,727.3,730,727.3,987,9247.56,364.56,422675,9100,17599.15
NIFTY,10-Apr-23,28-Dec-23,CE,18000,730,776.85,722.55,734.15,735.25,734.15,1378,12921,519,451625,28950,17624.05
NIFTY,11-Apr-23,28-Dec-23,CE,18000,760,795,747.05,781.05,778,781.05,1419,13319.04,548.04,480275,28650,17722.3
NIFTY,12-Apr-23,28-Dec-23,CE,18000,784.95,849,775.45,840.5,844.95,840.5,1293,12161.63,524.63,498975,18700,17812.4
NIFTY,13-Apr-23,28-Dec-23,CE,18000,824,860,793,843.65,842,843.65,743,6993.44,306.44,509575,10600,17828
NIFTY,17-Apr-23,28-Dec-23,CE,18000,835.1,860,744.5,789.9,785.9,789.9,1200,11266.11,466.11,513925,4350,17706.85
NIFTY,18-Apr-23,28-Dec-23,CE,18000,792.75,800,740.2,761.65,757.45,761.65,570,5348.62,218.62,514025,100,17660.15
NIFTY,19-Apr-23,28-Dec-23,CE,18000,750,755.7,719.55,724.6,723.95,724.6,517,4842.97,189.97,516475,2450,17618.75
NIFTY,20-Apr-23,28-Dec-23,CE,18000,723.95,759.3,717.5,728.55,730,728.55,714,6686.84,260.84,516525,50,17624.45
NIFTY,21-Apr-23,28-Dec-23,CE,18000,735,740.5,702.15,732.9,732,732.9,831,7779.55,300.55,518525,2000,17624.05
NIFTY,24-Apr-23,28-Dec-23,CE,18000,731.15,774.3,721,761,769.95,761,852,7986.04,318.04,519125,600,17743.4
NIFTY,25-Apr-23,28-Dec-23,CE,18000,770,796.5,752,782.85,777.5,782.85,734,6891.87,285.87,522575,3450,17769.25
NIFTY,26-Apr-23,28-Dec-23,CE,18000,777.45,808.35,752.05,801.55,807,801.55,937,8800.12,367.12,526925,4350,17813.6
NIFTY,27-Apr-23,28-Dec-23,CE,18000,800.95,861,791.25,853.95,855,853.95,988,9302.01,410.01,539675,12750,17915.05
NIFTY,28-Apr-23,28-Dec-23,CE,18000,869.05,915.75,850.5,906.95,913.7,906.95,1172,11064.86,516.86,544025,4350,18065
NIFTY,02-May-23,28-Dec-23,CE,18000,950,1005,943,996.3,989,996.3,1556,14771.74,767.74,549975,5950,18147.65
NIFTY,03-May-23,28-Dec-23,CE,18000,945.9,966.75,920,938.65,935,938.65,1394,13202.96,656.96,576125,26150,18089.85
NIFTY,04-May-23,28-Dec-23,CE,18000,925,1071.75,924.05,1059.95,1056.55,1059.95,1289,12251.79,650.79,584925,8800,18255.8
NIFTY,05-May-23,28-Dec-23,CE,18000,1000,1052,962.15,971.8,962.15,971.8,998,9481.1,499.1,583075,-1850,18069
NIFTY,08-May-23,28-Dec-23,CE,18000,998,1128,998,1114.65,1120.1,1114.65,2780,26537.23,1517.23,667375,84300,18264.4
NIFTY,09-May-23,28-Dec-23,CE,18000,1145.05,1169.5,1109,1125.85,1125,1125.85,2993,28620.18,1683.18,773525,106150,18265.95
NIFTY,10-May-23,28-Dec-23,CE,18000,1140.75,1179.9,1096.1,1176.6,1174.75,1176.6,2478,23727.46,1425.46,865575,92050,18315.1
